analysis	term	odds_ratio	or_ci_low	or_ci_high	average_marginal_effect_pp	ame_ci_low_pp	ame_ci_high_pp	interval_excludes_null
signature_entropy_full	z_gate_entropy	0.48806599	0.28290945	0.70566249	-14.39800916	-23.57793374	-7.03568521	True
signature_entropy_full	z_log_gate_count	1.08771572	0.73570404	2.31044253	1.68768200	-6.02020364	16.09714175	False
signature_entropy_full	z_num_qubits	0.85871065	0.52058721	1.20591429	-3.05748969	-12.55921145	3.62797998	False
signature_entropy_full	z_num_clbits	0.84005890	0.54866189	1.18199852	-3.49827953	-11.85134809	3.18219810	False
signature_entropy_full	has_barrier	0.32465467	0.16330082	0.61849070	-24.95434223	-38.65694393	-10.38069922	True
signature_gate_type_full	z_gate_type_count	0.33713975	0.14776558	0.54817600	-21.56101668	-35.51495243	-11.79504110	True
signature_gate_type_full	z_log_gate_count	1.27823801	0.84735575	2.97146920	4.86807651	-3.16829288	20.55047245	False
signature_gate_type_full	z_num_qubits	0.88963950	0.56375705	1.22237875	-2.31897421	-10.90252069	3.93315586	False
signature_gate_type_full	z_num_clbits	0.82283990	0.53443901	1.17009328	-3.86684845	-12.15934990	3.02282985	False
signature_gate_type_full	has_barrier	0.34659974	0.16777974	0.69851805	-23.39431478	-37.84607843	-7.53397825	True
execution_entropy_full	z_gate_entropy	0.63211897	0.43996729	0.88477297	-3.51030332	-6.57426326	-0.89221872	True
execution_entropy_full	z_log_gate_count	0.75942026	0.47114096	1.15489842	-2.10613111	-5.48365946	1.15954896	False
execution_entropy_full	z_num_qubits	0.95000905	0.68420410	1.34703934	-0.39247954	-2.98491687	2.19977968	False
execution_entropy_full	z_num_clbits	1.52174665	1.16100325	2.04740232	3.21321882	1.22611921	5.33523087	True
execution_entropy_full	has_barrier	1.11441106	0.70355299	1.79848429	0.82133364	-2.74028690	4.39895239	False
signature_given_execution_entropy_full	z_gate_entropy	0.49299270	0.25609655	0.74102095	-13.60894540	-23.93927713	-5.89079750	True
signature_given_execution_entropy_full	z_log_gate_count	1.17530807	0.76732043	2.91803627	3.10812737	-4.87236870	19.24089995	False
signature_given_execution_entropy_full	z_num_qubits	0.87606025	0.49552533	1.26444000	-2.54607775	-12.63617615	4.41759949	False
signature_given_execution_entropy_full	z_num_clbits	0.74202639	0.43567547	1.08160126	-5.74117332	-15.65052806	1.44643951	False
signature_given_execution_entropy_full	has_barrier	0.28611410	0.13852423	0.57545749	-27.53225793	-41.70641931	-11.42853075	True
signature_entropy_identifiable_150	z_gate_entropy	0.40724573	0.25024969	0.61506410	-17.78820301	-25.41942788	-9.86220808	True
signature_entropy_identifiable_150	z_log_gate_count	1.64653758	1.04231520	2.82130425	9.87436895	0.78345427	19.71179716	True
signature_entropy_identifiable_150	z_num_qubits	0.76907490	0.43765454	1.11663373	-5.19914660	-15.46294484	2.12887343	False
signature_entropy_identifiable_150	z_num_clbits	0.65682585	0.43180574	0.95025333	-8.32317487	-16.31275572	-0.96081513	True
signature_entropy_identifiable_150	has_barrier	0.36181611	0.18233326	0.68412598	-22.24086614	-36.99118726	-7.95387317	True
