analysis	term	odds_ratio	or_ci_low	or_ci_high	average_marginal_effect_pp	ame_ci_low_pp	ame_ci_high_pp	interval_excludes_null
signature_entropy_full	z_gate_entropy	0.48829591	0.27844789	0.70683910	-14.20905396	-23.48639151	-6.82755953	True
signature_entropy_full	z_log_gate_count	1.05560921	0.70708438	2.29053928	1.07272633	-6.58436702	15.80436107	False
signature_entropy_full	z_num_qubits	0.93120775	0.56633911	1.32312501	-1.41276861	-10.75354704	5.33466496	False
signature_entropy_full	z_num_clbits	0.76715948	0.48165339	1.09192082	-5.25402196	-13.90583745	1.59596185	False
signature_entropy_full	has_barrier	0.32806834	0.16442391	0.62798305	-24.48131627	-37.97945303	-9.90584297	True
signature_gate_type_full	z_gate_type_count	0.34059179	0.14672521	0.56026861	-21.10796172	-35.10196488	-11.28550192	True
signature_gate_type_full	z_log_gate_count	1.23492222	0.81066219	2.92479039	4.13524275	-3.98365335	20.08371587	False
signature_gate_type_full	z_num_qubits	0.96610162	0.60580144	1.34289122	-0.67584659	-9.32347333	5.59291051	False
signature_gate_type_full	z_num_clbits	0.75478222	0.47721386	1.07899567	-5.51330503	-14.13867930	1.41444853	False
signature_gate_type_full	has_barrier	0.34956829	0.16942866	0.72006282	-22.99325628	-37.33066048	-6.91770481	True
execution_entropy_full	z_gate_entropy	0.65633955	0.46270059	0.91609232	-3.17916257	-6.11574952	-0.63995089	True
execution_entropy_full	z_log_gate_count	0.72466492	0.44624311	1.10255083	-2.43147046	-5.74674836	0.74105985	False
execution_entropy_full	z_num_qubits	1.00854537	0.71230700	1.47837197	0.06424411	-2.50387557	2.91711313	False
execution_entropy_full	z_num_clbits	1.40906783	1.06698894	1.87082330	2.58913455	0.49970823	4.62994795	True
execution_entropy_full	has_barrier	1.10718658	0.69646134	1.84326217	0.76213651	-2.78462923	4.45417682	False
signature_given_execution_entropy_full	z_gate_entropy	0.49140746	0.25231840	0.73833549	-13.46547947	-23.96880346	-5.68131761	True
signature_given_execution_entropy_full	z_log_gate_count	1.15029668	0.74524065	2.92106304	2.65374196	-5.39715148	19.02691816	False
signature_given_execution_entropy_full	z_num_qubits	0.94663735	0.53793870	1.38606535	-1.03934589	-11.06195205	6.09658985	False
signature_given_execution_entropy_full	z_num_clbits	0.67829627	0.37986493	1.00318754	-7.35685458	-17.74131733	0.05750771	False
signature_given_execution_entropy_full	has_barrier	0.28849563	0.13796051	0.59094371	-26.98345772	-41.27626295	-10.88399645	True
signature_entropy_identifiable_150	z_gate_entropy	0.40135410	0.24551406	0.60868533	-17.79824843	-25.50429916	-9.78470151	True
signature_entropy_identifiable_150	z_log_gate_count	1.63570494	1.02508869	2.83953166	9.59354301	0.48457159	19.48907152	True
signature_entropy_identifiable_150	z_num_qubits	0.83757650	0.48074848	1.22684110	-3.45554880	-13.72046378	3.95960267	False
signature_entropy_identifiable_150	z_num_clbits	0.58359738	0.36974157	0.87146500	-10.49953045	-19.05478724	-2.44256520	True
signature_entropy_identifiable_150	has_barrier	0.36923923	0.18556939	0.70707294	-21.49279287	-36.06419169	-7.10734563	True
