model,model_label,executable,signature_matches,gate_order_matches,ordered_wire_tape_matches,parameter_aware_tape_matches,full_literal_matches,signature_rate,ordered_wire_given_signature_rate,parameter_aware_given_signature_rate
gpt-5.6-sol,GPT-5.6 Sol,153,97,93,90,88,88,0.6298701298701299,0.9278350515463918,0.9072164948453608
gpt-5.5,GPT-5.5,150,93,88,86,85,85,0.6038961038961039,0.9247311827956989,0.9139784946236559
gpt-5.4-mini,GPT-5.4 mini,151,93,91,87,85,85,0.6038961038961039,0.9354838709677419,0.9139784946236559
claude-fable-5,Claude Fable 5,151,97,93,90,89,89,0.6298701298701299,0.9278350515463918,0.9175257731958762
claude-sonnet-4-6,Claude Sonnet 4.6,153,91,86,84,83,83,0.5909090909090909,0.9230769230769231,0.9120879120879121
claude-opus-4-8,Claude Opus 4.8,154,92,89,87,85,85,0.5974025974025974,0.9456521739130435,0.9239130434782609
gemini-2.5-pro,Gemini 2.5 Pro,136,83,78,77,77,77,0.538961038961039,0.927710843373494,0.927710843373494
gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,149,94,89,86,85,85,0.6103896103896104,0.9148936170212766,0.9042553191489362
deepseek-v4-pro,DeepSeek V4 Pro,141,91,89,87,84,84,0.5909090909090909,0.9560439560439561,0.9230769230769231
deepseek-v4-flash,DeepSeek V4 Flash,137,81,78,77,76,76,0.525974025974026,0.9506172839506173,0.9382716049382716
mistral-ai/codestral-2501,Codestral 25.01,144,86,82,78,74,74,0.5584415584415584,0.9069767441860465,0.8604651162790697
qwen/qwen3-coder-next,Qwen3-Coder-Next,132,78,75,69,69,69,0.5064935064935064,0.8846153846153846,0.8846153846153846
meta/llama-4-maverick-17b-128e-instruct-fp8,Llama 4 Maverick,145,75,75,71,71,71,0.487012987012987,0.9466666666666667,0.9466666666666667
llama-3.3-70b-versatile,Llama 3.3 70B,144,71,65,63,62,62,0.461038961038961,0.8873239436619719,0.8732394366197183
openai/gpt-oss-120b,GPT-OSS 120B,149,82,79,77,75,75,0.5324675324675324,0.9390243902439024,0.9146341463414634
openai/gpt-oss-20b,GPT-OSS 20B,143,78,74,73,70,70,0.5064935064935064,0.9358974358974359,0.8974358974358975
mistralai/mistral-small-3.2-24b-instruct,Mistral Small 3.2 24B,139,75,72,67,65,65,0.487012987012987,0.8933333333333333,0.8666666666666667
qiskit/mistral-small-3.2-24b-qiskit,Qiskit Mistral 3.2 24B,138,69,66,65,64,64,0.44805194805194803,0.9420289855072463,0.927536231884058
qwen/qwen3-32b,Qwen3 32B,89,54,51,49,46,46,0.35064935064935066,0.9074074074074074,0.8518518518518519
meta-llama/llama-4-scout-17b-16e-instruct,Llama 4 Scout,127,69,66,61,60,60,0.44805194805194803,0.8840579710144928,0.8695652173913043
llama-3.1-8b-instant,Llama 3.1 8B,125,54,54,52,52,52,0.35064935064935066,0.9629629629629629,0.9629629629629629
