comparison	before_label	after_label	before_rate	after_rate	difference	difference_ci_low	difference_ci_high	after_wins	before_wins	ties	signature_cluster_permutation_p	holm_adjusted_cluster_permutation_p	unclustered_exact_mcnemar_p
Llama 8B -> 70B	Llama 3.1 8B	Llama 3.3 70B	0.35064935064935066	0.461038961038961	0.11038961038961037	0.03772995283018867	0.18292882193527815	26	9	119	0.00621987560248795	0.05597888042239155	0.005988120567053557
Llama 4 Scout -> Maverick	Llama 4 Scout	Llama 4 Maverick	0.44805194805194803	0.487012987012987	0.038961038961038974	-0.038961038961038974	0.11766640866873039	20	14	120	0.40571188576228473	1.0	0.39152830513194203
GPT-OSS 20B -> 120B	GPT-OSS 20B	GPT-OSS 120B	0.5064935064935064	0.5324675324675324	0.025974025974025983	-0.025974025974025983	0.07741935483870965	10	6	138	0.4526109477810444	1.0	0.454498291015625
Gemini 2.5 -> 3.1	Gemini 2.5 Pro	Gemini 3.1 Pro Preview	0.538961038961039	0.6103896103896104	0.0714285714285714	0.018749999999999933	0.13072684246112223	16	5	133	0.025979480410391793	0.20783584328313434	0.02660369873046875
Claude Sonnet -> Opus	Claude Sonnet 4.6	Claude Opus 4.8	0.5909090909090909	0.5974025974025974	0.00649350649350644	-0.020000000000000018	0.03703703703703698	3	2	149	1.0	1.0	1.0
Claude Opus -> Fable	Claude Opus 4.8	Claude Fable 5	0.5974025974025974	0.6298701298701299	0.032467532467532534	0.0	0.06849957191780817	6	1	147	0.125477490450191	0.7423051538969221	0.125
DeepSeek Flash -> Pro	DeepSeek V4 Flash	DeepSeek V4 Pro	0.525974025974026	0.5909090909090909	0.06493506493506496	0.006369426751592355	0.12739174111913812	17	7	130	0.0625987480250395	0.43819123617527644	0.06391465663909912
Qwen3 general -> Coder	Qwen3 32B	Qwen3-Coder-Next	0.35064935064935066	0.5064935064935064	0.15584415584415579	0.07236842105263158	0.2375	35	11	108	0.0009799804003919922	0.009799804003919922	0.0005355850721002753
GPT-5.4 mini -> GPT-5.5	GPT-5.4 mini	GPT-5.5	0.6038961038961039	0.6038961038961039	0.0	-0.03246753246753242	0.032258064516129004	3	3	148	1.0	1.0	1.0
GPT-5.5 -> GPT-5.6 Sol	GPT-5.5	GPT-5.6 Sol	0.6038961038961039	0.6298701298701299	0.025974025974025983	0.006250000000000089	0.05357442473633747	4	0	150	0.12371752564948701	0.7423051538969221	0.125
