model,model_label,developer,pilot_execution_rate,extension_execution_rate,execution_change,pilot_signature_rate,extension_signature_rate,signature_change,pilot_gap,extension_gap
gpt-5.6-sol,GPT-5.6 Sol,OpenAI,0.9857142857142858,1.0,0.014285714285714235,0.6285714285714286,0.6309523809523809,0.0023809523809523725,0.3571428571428572,0.36904761904761907
gpt-5.5,GPT-5.5,OpenAI,0.9857142857142858,0.9642857142857143,-0.021428571428571463,0.6285714285714286,0.5833333333333334,-0.04523809523809519,0.3571428571428572,0.38095238095238093
gpt-5.4-mini,GPT-5.4 mini,OpenAI,0.9714285714285714,0.9880952380952381,0.01666666666666672,0.6428571428571429,0.5714285714285714,-0.07142857142857151,0.3285714285714285,0.41666666666666674
claude-fable-5,Claude Fable 5,Anthropic,0.9857142857142858,0.9761904761904762,-0.009523809523809601,0.6428571428571429,0.6190476190476191,-0.023809523809523836,0.34285714285714286,0.3571428571428571
claude-sonnet-4-6,Claude Sonnet 4.6,Anthropic,1.0,0.9880952380952381,-0.011904761904761862,0.6142857142857143,0.5714285714285714,-0.04285714285714293,0.3857142857142857,0.41666666666666674
claude-opus-4-8,Claude Opus 4.8,Anthropic,1.0,1.0,0.0,0.6142857142857143,0.5833333333333334,-0.030952380952380953,0.3857142857142857,0.41666666666666663
gemini-2.5-pro,Gemini 2.5 Pro,Google,0.9,0.8690476190476191,-0.030952380952380953,0.6285714285714286,0.4642857142857143,-0.16428571428571426,0.27142857142857146,0.40476190476190477
gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,Google,0.9714285714285714,0.9642857142857143,-0.0071428571428571175,0.6285714285714286,0.5952380952380952,-0.033333333333333326,0.34285714285714286,0.36904761904761907
deepseek-v4-pro,DeepSeek V4 Pro,DeepSeek,0.9142857142857143,0.9166666666666666,0.0023809523809523725,0.5857142857142857,0.5952380952380952,0.00952380952380949,0.3285714285714285,0.3214285714285714
deepseek-v4-flash,DeepSeek V4 Flash,DeepSeek,0.9142857142857143,0.8690476190476191,-0.04523809523809519,0.5857142857142857,0.47619047619047616,-0.10952380952380958,0.3285714285714285,0.3928571428571429
mistral-ai/codestral-2501,Codestral 25.01,Mistral AI,0.9571428571428572,0.9166666666666666,-0.040476190476190554,0.5857142857142857,0.5357142857142857,-0.050000000000000044,0.37142857142857144,0.38095238095238093
qwen/qwen3-coder-next,Qwen3-Coder-Next,Alibaba/Qwen,0.8714285714285714,0.8452380952380952,-0.02619047619047621,0.5285714285714286,0.4880952380952381,-0.0404761904761905,0.34285714285714286,0.35714285714285715
meta/llama-4-maverick-17b-128e-instruct-fp8,Llama 4 Maverick,Meta,0.9285714285714286,0.9523809523809523,0.023809523809523725,0.5714285714285714,0.4166666666666667,-0.1547619047619047,0.3571428571428572,0.5357142857142856
llama-3.3-70b-versatile,Llama 3.3 70B,Meta,0.9428571428571428,0.9285714285714286,-0.014285714285714235,0.5,0.42857142857142855,-0.07142857142857145,0.44285714285714284,0.5
openai/gpt-oss-120b,GPT-OSS 120B,OpenAI,0.9571428571428572,0.9761904761904762,0.01904761904761898,0.5428571428571428,0.5238095238095238,-0.01904761904761898,0.41428571428571437,0.45238095238095233
openai/gpt-oss-20b,GPT-OSS 20B,OpenAI,0.9428571428571428,0.9166666666666666,-0.02619047619047621,0.5714285714285714,0.4523809523809524,-0.11904761904761901,0.37142857142857144,0.46428571428571425
mistralai/mistral-small-3.2-24b-instruct,Mistral Small 3.2 24B,Mistral AI,0.9285714285714286,0.8809523809523809,-0.04761904761904767,0.6,0.39285714285714285,-0.20714285714285713,0.3285714285714286,0.4880952380952381
qiskit/mistral-small-3.2-24b-qiskit,Qiskit Mistral 3.2 24B,IBM/Qiskit,0.9,0.8928571428571429,-0.0071428571428571175,0.5142857142857142,0.39285714285714285,-0.12142857142857139,0.3857142857142858,0.5
qwen/qwen3-32b,Qwen3 32B,Alibaba/Qwen,0.6571428571428571,0.5119047619047619,-0.14523809523809528,0.38571428571428573,0.32142857142857145,-0.06428571428571428,0.2714285714285714,0.1904761904761904
meta-llama/llama-4-scout-17b-16e-instruct,Llama 4 Scout,Meta,0.8571428571428571,0.7976190476190477,-0.05952380952380942,0.5,0.40476190476190477,-0.09523809523809523,0.3571428571428571,0.3928571428571429
llama-3.1-8b-instant,Llama 3.1 8B,Meta,0.8428571428571429,0.7857142857142857,-0.05714285714285716,0.44285714285714284,0.27380952380952384,-0.169047619047619,0.4,0.5119047619047619
