model_label	score	score_ci_low	score_ci_high	rank	rank_median	rank_ci_low	rank_ci_high	top_3_probability	top_5_probability
Claude Fable 5	0.6298701298701299	0.5460516225379399	0.7091055718475071	1.5	1.5	1.0	4.5	0.924	0.987
GPT-5.6 Sol	0.6298701298701299	0.5465705704478588	0.7098765432098766	1.5	1.5	1.0	3.0	0.9848	1.0
Gemini 3.1 Pro Preview	0.6103896103896104	0.5283018867924528	0.6907894736842105	3.0	4.0	2.0	6.5	0.3124	0.8544
GPT-5.4 mini	0.6038961038961039	0.5197368421052632	0.6842105263157895	4.5	5.0	1.5	8.0	0.1738	0.578
GPT-5.5	0.6038961038961039	0.5194805194805194	0.6845637583892618	4.5	5.0	2.5	8.0	0.1164	0.586
Claude Opus 4.8	0.5974025974025974	0.5128205128205128	0.6794871794871795	6.0	6.0	3.0	9.0	0.0716	0.3328
Claude Sonnet 4.6	0.5909090909090909	0.5064935064935064	0.6729559748427673	7.5	7.0	3.5	9.0	0.0116	0.1444
DeepSeek V4 Pro	0.5909090909090909	0.5066666666666667	0.6726217532467532	7.5	7.0	1.5	10.0	0.1084	0.2742
Codestral 25.01	0.5584415584415584	0.47435897435897434	0.6405228758169934	9.0	9.0	6.0	12.5	0.0016	0.0158
Gemini 2.5 Pro	0.538961038961039	0.45341407867494826	0.6216259528759528	10.0	10.5	7.0	16.0	0.0026	0.0088
GPT-OSS 120B	0.5324675324675324	0.44370860927152317	0.6181877990430621	11.0	11.0	8.5	15.0	0.0	0.0004
DeepSeek V4 Flash	0.525974025974026	0.43870967741935485	0.6076011417225117	12.0	12.0	9.0	15.5	0.0	0.0008
GPT-OSS 20B	0.5064935064935064	0.41935483870967744	0.5918434479054778	13.5	13.5	10.0	17.0	0.0	0.0
Qwen3-Coder-Next	0.5064935064935064	0.42207792207792205	0.5892886707663197	13.5	13.5	10.0	17.5	0.0	0.0
Llama 4 Maverick	0.487012987012987	0.40131578947368424	0.5714285714285714	15.5	15.0	11.0	19.0	0.0	0.0
Mistral Small 3.2 24B	0.487012987012987	0.4025974025974026	0.5704708742040956	15.5	15.0	10.5	18.5	0.0	0.0002
Llama 3.3 70B	0.461038961038961	0.3716216216216216	0.5483870967741935	17.0	17.0	12.0	19.0	0.0	0.0002
Llama 4 Scout	0.44805194805194803	0.36551724137931035	0.5308641975308642	18.5	18.0	14.5	19.0	0.0	0.0
Qiskit Mistral 3.2 24B	0.44805194805194803	0.36538461538461536	0.5333333333333333	18.5	18.0	14.5	19.5	0.0	0.0
Llama 3.1 8B	0.35064935064935066	0.2709677419354839	0.43312101910828027	20.5	20.5	20.0	21.0	0.0	0.0
Qwen3 32B	0.35064935064935066	0.2756291946308725	0.4266687898089172	20.5	20.5	19.0	21.0	0.0	0.0
