model,model_label,run_1_signature_rate,run_2_signature_rate,run_3_signature_rate,mean_signature_rate,signature_range_pp,run_1_execution_rate,run_2_execution_rate,run_3_execution_rate,signature_any_flip_rate,signature_gwet_ac1,execution_any_flip_rate,execution_gwet_ac1,provider_errors
gpt-5.6-sol,GPT-5.6 Sol,0.5972222222222222,0.5972222222222222,0.5972222222222222,0.5972222222222222,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0
gpt-5.5,GPT-5.5,0.5833333333333334,0.5972222222222222,0.5972222222222222,0.5925925925925926,1.388888888888884,0.9722222222222222,1.0,0.9861111111111112,0.01388888888888884,0.9820954907161803,0.04166666666666663,0.9714399047996827,0
gpt-5.4-mini,GPT-5.4 mini,0.5833333333333334,0.5555555555555556,0.5694444444444444,0.5694444444444444,2.777777777777779,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.04166666666666663,0.9454958364875095,0.0,1.0,0
claude-fable-5,Claude Fable 5,0.6111111111111112,0.5972222222222222,0.625,0.6111111111111112,2.777777777777779,1.0,1.0,1.0,0.04166666666666663,0.9470588235294117,0.0,1.0,0
claude-sonnet-4-6,Claude Sonnet 4.6,0.5833333333333334,0.5555555555555556,0.5972222222222222,0.5787037037037037,4.1666666666666625,0.9861111111111112,1.0,0.9861111111111112,0.04166666666666663,0.9457876683677736,0.02777777777777779,0.9811353711790394,0
claude-opus-4-8,Claude Opus 4.8,0.5972222222222222,0.5972222222222222,0.5972222222222222,0.5972222222222222,0.0,1.0,0.9861111111111112,1.0,0.0,1.0,0.01388888888888884,0.9906546099597628,0
gemini-2.5-pro,Gemini 2.5 Pro,0.5138888888888888,0.4722222222222222,0.5,0.4953703703703704,4.1666666666666625,0.8611111111111112,0.8472222222222222,0.8888888888888888,0.125,0.8333476210887268,0.13888888888888884,0.8793633063390115,0
gemini-3.1-pro-preview,Gemini 3.1 Pro Preview,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.0,0.9583333333333334,0.9444444444444444,0.9722222222222222,0.0,1.0,0.02777777777777779,0.979874213836478,0
deepseek-v4-pro,DeepSeek V4 Pro,0.5555555555555556,0.5277777777777778,0.5555555555555556,0.5462962962962964,2.777777777777779,0.9166666666666666,0.9166666666666666,0.8888888888888888,0.13888888888888884,0.8163889833390003,0.13888888888888884,0.8887056883759274,0
deepseek-v4-flash,DeepSeek V4 Flash,0.4861111111111111,0.5416666666666666,0.5416666666666666,0.523148148148148,5.555555555555553,0.875,0.9444444444444444,0.9722222222222222,0.13888888888888884,0.8152108820258362,0.125,0.9042977403633141,0
mistral-ai/codestral-2501,Codestral 25.01,0.5138888888888888,0.4722222222222222,0.5138888888888888,0.5,4.1666666666666625,0.9305555555555556,0.8611111111111112,0.9305555555555556,0.04166666666666663,0.9444444444444444,0.06944444444444442,0.9443528441879637,6
qwen/qwen3-coder-next,Qwen3-Coder-Next,0.4722222222222222,0.5138888888888888,0.5138888888888888,0.5,4.1666666666666625,0.875,0.9166666666666666,0.9166666666666666,0.06944444444444442,0.9074074074074074,0.125,0.8989237248479177,0
meta/llama-4-maverick-17b-128e-instruct-fp8,Llama 4 Maverick,0.5,0.3194444444444444,0.3472222222222222,0.38888888888888884,18.055555555555557,0.9444444444444444,0.6944444444444444,0.625,0.29166666666666663,0.6294117647058824,0.5,0.47062427666961665,44
llama-3.3-70b-versatile,Llama 3.3 70B,0.4861111111111111,0.4305555555555556,0.4722222222222222,0.46296296296296297,5.555555555555553,0.9305555555555556,0.9305555555555556,0.9166666666666666,0.11111111111111116,0.8526603001364257,0.01388888888888884,0.989268680445151,1
openai/gpt-oss-120b,GPT-OSS 120B,0.5416666666666666,0.4166666666666667,0.3472222222222222,0.4351851851851851,19.444444444444443,0.9861111111111112,0.8194444444444444,0.7083333333333334,0.2777777777777778,0.6357504215851602,0.36111111111111116,0.6695109751073972,30
openai/gpt-oss-20b,GPT-OSS 20B,0.4583333333333333,0.3194444444444444,0.3055555555555556,0.3611111111111111,15.277777777777773,0.9305555555555556,0.5833333333333334,0.5277777777777778,0.36111111111111116,0.5530085959885388,0.5694444444444444,0.32832764505119455,55
mistralai/mistral-small-3.2-24b-instruct,Mistral Small 3.2 24B,0.5,0.4861111111111111,0.4861111111111111,0.49074074074074076,1.3888888888888895,0.9305555555555556,0.8888888888888888,0.9305555555555556,0.08333333333333337,0.8889269797737401,0.16666666666666663,0.8688524590163934,0
qiskit/mistral-small-3.2-24b-qiskit,Qiskit Mistral 3.2 24B,0.4722222222222222,0.0,0.0,0.1574074074074074,47.22222222222222,0.9305555555555556,0.0,0.0,0.4722222222222222,0.5715285880980164,0.9305555555555556,-0.08445110528287747,144
qwen/qwen3-32b,Qwen3 32B,0.3333333333333333,0.09722222222222222,0.09722222222222222,0.17592592592592593,23.61111111111111,0.5833333333333334,0.1527777777777778,0.18055555555555555,0.36111111111111116,0.6609514609997585,0.6111111111111112,0.29222520107238603,104
meta-llama/llama-4-scout-17b-16e-instruct,Llama 4 Scout,0.4305555555555556,0.4722222222222222,0.4444444444444444,0.4490740740740741,4.1666666666666625,0.8194444444444444,0.8472222222222222,0.8333333333333334,0.125,0.8350445481544336,0.13888888888888884,0.8717948717948718,0
llama-3.1-8b-instant,Llama 3.1 8B,0.3472222222222222,0.2638888888888889,0.19444444444444445,0.26851851851851855,15.277777777777777,0.8333333333333334,0.5833333333333334,0.5277777777777778,0.18055555555555558,0.801750917819825,0.48611111111111116,0.40416141235813374,48
